host_since,host_location,host_is_superhost,host_identity_verified,host_has_profile_pic,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,number_of_reviews,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,instant_bookable,bathroom_type,has_license,has_terrace,has_wifi,pet_allowed,has_AC,has_kitchen
4549,spain,False,True,True,eixample,41.38184,2.15119,entire_home_apt,5,1.0,2.0,5.0,133.0,2.0,90.0,True,5,7,233,54.0,4.76,4.67,4.76,4.77,4.74,4.55,1.86,True,1,True,True,True,False,True,True
4730,spain,False,True,True,gracia,41.39877,2.15887,entire_home_apt,4,1.0,2.0,2.0,198.0,4.0,180.0,True,0,5,264,75.0,4.73,4.8,4.77,4.82,4.89,4.72,1.73,True,1,True,True,True,True,True,True
4730,spain,True,True,True,sants_montjuic,41.3724,2.1648,entire_home_apt,2,1.0,1.0,1.0,155.0,3.0,365.0,True,2,5,151,55.0,4.89,4.86,4.95,4.99,4.88,4.8,0.98,False,1,True,True,True,False,True,True
4725,spain,True,True,True,gracia,41.398,2.1553,entire_home_apt,4,1.0,2.0,3.0,105.0,2.0,1125.0,True,4,6,356,63.0,4.79,4.75,4.97,4.98,4.92,4.75,2.55,False,1,True,False,True,True,True,True
4548,spain,False,True,True,ciutat_vella,41.38422,2.18412,entire_home_apt,6,1.5,2.0,4.0,176.0,1.0,1125.0,True,8,9,192,65.0,4.57,4.56,4.74,4.89,4.98,4.55,1.55,False,1,True,True,True,False,True,True
4545,spain,True,True,True,gracia,41.40508,2.15491,entire_home_apt,3,1.0,3.0,4.0,223.0,3.0,10.0,True,3,5,434,53.0,4.9,4.92,4.99,4.99,4.96,4.86,2.98,False,1,True,True,True,True,True,True
4694,spain,False,True,True,eixample,41.39970016479492,2.1748878955841064,entire_home_apt,3,1.0,1.0,2.0,246.0,10.0,130.0,True,1,2,100,70.0,4.63,4.68,4.78,4.85,4.81,4.34,1.17,False,1,True,True,True,False,True,True
4838,spain,False,True,True,eixample,41.40653,2.1746,entire_home_apt,8,2.0,4.0,7.0,478.0,2.0,30.0,True,5,24,95,70.0,4.38,4.45,4.43,4.65,4.88,4.41,0.78,False,1,True,True,True,False,True,True
4687,spain,False,True,True,sarria_sant_gervasi,41.39653,2.1442,entire_home_apt,8,1.0,3.0,5.0,225.0,2.0,90.0,True,2,5,54,86.0,4.13,4.24,4.48,4.48,4.48,4.15,0.48,True,1,True,False,True,True,True,True
4543,spain,False,True,True,sant_marti,41.40502,2.20802,entire_home_apt,4,1.0,2.0,0.0,159.0,2.0,1125.0,True,1,8,491,67.0,4.68,4.57,4.9,4.88,4.67,4.64,3.36,True,1,True,True,True,False,True,True
4703,spain,True,True,True,ciutat_vella,41.37918,2.17733,entire_home_apt,4,1.5,2.0,2.0,249.0,7.0,320.0,True,2,8,46,65.0,4.73,4.84,4.93,4.87,4.84,4.69,0.3,False,1,False,False,True,True,True,True
4540,spain,False,True,True,ciutat_vella,41.37961,2.17306,entire_home_apt,2,1.0,2.0,1.0,60.0,32.0,350.0,True,0,0,25,2174.0,4.2,4.39,4.52,4.67,4.54,4.13,0.18,False,1,False,False,True,False,True,True
4540,spain,False,True,True,eixample,41.375553476091895,2.1625359295673867,entire_home_apt,4,1.0,2.0,2.0,192.0,2.0,15.0,True,8,23,413,73.0,4.67,4.65,4.72,4.77,4.79,4.57,2.77,False,1,True,True,True,False,True,True
4677,spain,True,True,True,sant_marti,41.41626,2.20149,entire_home_apt,6,1.0,3.0,3.0,257.0,2.0,400.0,True,11,41,136,58.0,4.52,4.67,4.86,4.82,4.44,4.38,0.91,False,1,True,False,True,False,True,True
4674,spain,False,True,True,ciutat_vella,41.3817,2.17195,entire_home_apt,4,1.0,1.0,2.0,43.0,32.0,330.0,True,3,7,26,126.0,4.36,4.08,4.54,4.65,4.69,4.12,0.17,False,1,False,True,True,False,True,True
4686,spain,False,True,True,eixample,41.37911,2.15356,entire_home_apt,4,1.5,3.0,3.0,283.0,1.0,1125.0,True,10,22,137,76.0,4.69,4.58,4.78,4.83,4.83,4.57,0.95,False,1,True,True,True,False,True,True
4664,spain,False,True,True,gracia,41.413368225097656,2.1388769149780273,private_room,1,1.0,1.0,1.0,28.0,31.0,1125.0,True,8,8,71,158.0,4.84,4.62,4.92,4.9,4.75,4.87,0.48,False,0,False,True,True,False,True,True
4635,spain,False,True,True,ciutat_vella,41.38545,2.18117,entire_home_apt,6,1.0,3.0,0.0,380.0,31.0,365.0,True,30,60,3,138.0,4.67,4.67,5.0,5.0,5.0,5.0,0.12,False,1,False,True,True,False,True,True
4663,spain,False,True,True,ciutat_vella,41.3801,2.17693,private_room,2,1.0,1.0,1.0,73.0,31.0,1125.0,True,2,7,246,52.0,4.54,4.83,4.83,4.7,4.8,4.61,1.67,False,0,False,False,True,False,True,False
4635,spain,False,True,True,ciutat_vella,41.38148,2.18123,entire_home_apt,3,1.0,1.0,3.0,253.0,1.0,1125.0,True,26,56,4,158.0,4.75,4.75,5.0,4.75,5.0,4.5,0.03,False,1,False,True,True,False,True,True
4636,spain,False,True,True,gracia,41.41892,2.14871,entire_home_apt,4,1.0,2.0,3.0,160.0,3.0,365.0,True,4,7,606,56.0,4.64,4.69,4.9,4.89,4.54,4.6,4.1,False,1,True,True,True,True,True,True
4663,spain,False,True,True,ciutat_vella,41.38333,2.18095,private_room,3,0.5,1.0,0.0,86.0,31.0,45.0,True,6,22,137,59.0,4.64,4.16,4.79,4.8,4.93,4.59,0.93,False,0,False,True,True,False,True,True
4652,other,False,True,True,ciutat_vella,41.37722,2.18944,private_room,1,1.0,1.0,1.0,95.0,31.0,40.0,True,8,29,163,54.0,4.52,4.12,4.84,4.85,4.91,4.5,1.12,False,0,False,True,True,False,True,True
4635,spain,False,True,True,eixample,41.39639,2.17641,entire_home_apt,6,2.0,3.0,4.0,536.0,1.0,1125.0,True,30,60,9,78.0,3.75,4.38,4.63,4.25,4.25,3.75,0.06,False,1,True,True,True,False,True,True
4556,spain,True,True,True,ciutat_vella,41.38416,2.18257,entire_home_apt,4,2.0,2.0,3.0,234.0,32.0,333.0,True,28,58,73,247.0,4.47,4.49,4.69,4.69,4.9,4.38,0.5,False,1,False,True,True,False,True,True
4808,spain,True,True,True,eixample,41.38992,2.16974,entire_home_apt,2,1.0,1.0,1.0,800.0,3.0,360.0,True,26,48,229,83.0,4.97,4.98,4.97,4.99,5.0,4.92,1.55,False,1,True,False,True,False,True,True
4648,spain,False,True,True,eixample,41.39268,2.17214,entire_home_apt,6,2.0,3.0,3.0,612.0,2.0,180.0,True,20,50,70,81.0,4.52,4.7,4.69,4.73,4.83,4.48,0.47,True,1,True,False,True,False,True,True
4321,spain,False,True,True,ciutat_vella,41.38203,2.18362,entire_home_apt,6,2.0,3.0,6.0,627.0,2.0,60.0,True,4,5,273,101.0,4.63,4.76,4.82,4.82,4.91,4.55,1.83,True,1,True,False,True,True,True,True
4648,spain,False,True,True,eixample,41.39184,2.17146,entire_home_apt,6,2.0,3.0,3.0,499.0,2.0,180.0,True,11,31,121,68.0,4.66,4.68,4.45,4.69,4.84,4.56,1.33,True,1,True,True,True,False,True,True
4466,spain,True,True,True,sant_marti,41.40248,2.19668,private_room,1,1.0,1.0,0.0,81.0,1.0,150.0,True,10,40,296,63.0,4.65,4.51,4.81,4.88,4.67,4.68,2.02,False,0,False,False,True,False,False,True
4522,spain,True,True,True,ciutat_vella,41.3795,2.16568,entire_home_apt,4,1.0,2.0,0.0,152.0,3.0,31.0,True,1,5,441,67.0,4.48,4.44,4.85,4.87,4.66,4.53,3.02,True,1,True,False,True,False,True,True
4518,spain,True,True,True,eixample,41.38268,2.15044,entire_home_apt,2,1.0,2.0,2.0,179.0,2.0,15.0,True,3,18,151,58.0,4.86,4.91,4.87,4.92,4.73,4.76,1.02,False,1,True,True,True,False,True,True
4472,spain,False,True,True,eixample,41.39776,2.16499,entire_home_apt,4,1.0,1.0,2.0,292.0,1.0,1125.0,True,20,50,100,85.0,4.66,4.7,4.75,4.86,4.94,4.55,1.06,True,1,True,False,True,True,True,True
4495,spain,False,True,True,sants_montjuic,41.37349,2.13213,private_room,2,1.0,1.0,1.0,50.0,31.0,320.0,True,14,44,31,215.0,4.67,4.23,4.61,4.74,4.39,4.39,0.21,False,0,False,True,True,False,True,True
4635,spain,False,True,True,ciutat_vella,41.38035,2.17821,entire_home_apt,5,1.0,2.0,0.0,419.0,2.0,365.0,True,30,60,11,3276.0,4.29,4.45,4.64,4.64,4.45,4.18,0.07,False,1,False,True,True,False,True,True
